team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
LAK,2022,LAK,LAK,Team Level,other,68,0.49,0.47,0.47,9474.0,128.35,25.99,8.37,22.0,4.11,62.97,52.63,24.39,25.99,24.39,125.0,52.0,50.0,227.0,27.0,7.0,0.0,15.0,5.0,54.0,69.0,98.0,150.0,7.0,14.0,116.0,34.0,13.0,22.0,92.0,55.0,30.0,3.63,6.96,15.4,2.0,9.0,16.0,227.0,177.0,177.0,15.0,2.33,2.54,2.54,25.72,25.72,24.55,148.04,26.77,11.09,26.32,4.93,82.93,49.97,24.99,26.77,24.99,141.0,61.0,58.0,260.0,28.0,12.0,1.0,28.0,6.0,71.0,57.0,113.0,174.0,5.0,12.0,118.0,36.0,24.0,16.0,105.0,64.0,33.0,4.44,7.95,14.38,6.0,8.0,14.0,260.0,202.0,202.0,6.0,3.18,3.22,3.22,26.73,26.73,25.58
LAK,2022,LAK,LAK,Team Level,all,68,0.53,0.51,0.53,248660.0,2219.26,224.39,154.4,507.23,72.81,1220.37,883.86,214.55,224.94,215.09,2206.0,858.0,1004.0,4068.0,227.0,190.0,30.0,478.0,74.0,1032.0,1063.0,1979.0,2837.0,265.0,562.0,2008.0,1453.0,333.0,518.0,2150.0,682.0,232.0,62.57,83.44,78.38,61.0,91.0,75.0,4087.89,3064.0,3084.16,354.0,34.17,41.22,41.28,217.22,217.69,211.65,1986.83,201.25,140.22,448.67,64.97,1097.57,784.32,191.9,201.19,191.88,1919.0,818.0,1098.0,3835.0,221.0,174.0,24.0,428.0,67.0,905.0,942.0,1698.0,2516.0,262.0,559.0,1794.0,1869.0,408.0,473.0,1936.0,605.0,196.0,58.12,74.77,68.37,84.0,74.0,63.0,3825.62,2737.0,2730.69,309.0,31.22,38.83,38.83,193.64,193.92,188.73
LAK,2022,LAK,LAK,Team Level,5on5,68,0.53,0.52,0.54,198104.0,1726.08,151.93,114.42,413.92,56.57,950.78,698.39,145.87,152.48,146.4,1714.0,672.0,796.0,3182.0,142.0,152.0,26.0,389.0,55.0,813.0,835.0,1572.0,2244.0,227.0,483.0,1504.0,1336.0,284.0,423.0,1737.0,501.0,148.0,50.65,60.68,40.6,47.0,64.0,31.0,3201.89,2386.0,2406.16,299.0,23.66,32.86,32.92,142.68,143.15,140.15,1503.0,135.69,101.65,354.99,49.12,821.25,607.3,129.53,135.62,129.51,1432.0,638.0,866.0,2936.0,139.0,132.0,15.0,337.0,49.0,670.0,743.0,1293.0,1931.0,232.0,494.0,1312.0,1735.0,340.0,375.0,1494.0,454.0,122.0,44.95,56.96,33.77,66.0,51.0,22.0,2926.62,2070.0,2063.69,254.0,21.08,27.78,28.23,128.53,128.81,126.02
LAK,2022,LAK,LAK,Team Level,4on5,68,0.13,0.1,0.13,20569.0,44.69,4.92,2.34,6.09,1.41,14.24,31.01,4.9,4.92,4.9,55.0,5.0,5.0,65.0,5.0,1.0,1.0,3.0,0.0,9.0,42.0,50.0,55.0,9.0,18.0,159.0,55.0,30.0,36.0,41.0,11.0,8.0,1.19,1.39,2.34,2.0,1.0,2.0,65.0,60.0,60.0,36.0,0.54,0.47,0.47,4.98,4.98,4.96,289.76,34.44,25.28,60.74,9.49,178.71,93.34,33.09,34.44,33.09,292.0,110.0,162.0,564.0,47.0,29.0,8.0,59.0,11.0,150.0,106.0,245.0,355.0,18.0,36.0,195.0,23.0,9.0,33.0,292.0,75.0,35.0,7.29,8.46,18.69,11.0,11.0,25.0,564.0,402.0,402.0,3.0,6.46,7.51,7.07,33.83,33.83,32.6
LAK,2022,LAK,LAK,Team Level,5on4,68,0.91,0.89,0.88,20513.0,320.15,41.55,29.27,65.23,10.73,192.39,101.83,39.4,41.55,39.4,312.0,129.0,153.0,594.0,53.0,30.0,3.0,71.0,14.0,156.0,117.0,259.0,388.0,22.0,47.0,229.0,28.0,6.0,37.0,280.0,115.0,46.0,7.1,14.4,20.04,10.0,17.0,26.0,594.0,441.0,441.0,4.0,7.64,5.34,5.34,43.84,43.84,41.99,46.05,4.36,2.21,6.62,1.43,14.67,33.71,4.3,4.36,4.3,54.0,9.0,12.0,75.0,7.0,1.0,0.0,4.0,1.0,14.0,36.0,47.0,56.0,7.0,17.0,169.0,75.0,35.0,49.0,45.0,12.0,6.0,1.44,1.41,1.51,1.0,4.0,2.0,75.0,63.0,63.0,46.0,0.5,0.31,0.31,4.56,4.56,4.54
DET,2022,DET,DET,Team Level,other,67,0.57,0.5,0.51,9976.0,133.52,29.57,9.66,24.58,4.47,68.11,43.62,27.9,29.57,27.9,125.0,55.0,55.0,235.0,30.0,14.0,3.0,20.0,5.0,57.0,54.0,95.0,150.0,11.0,23.0,121.0,34.0,15.0,18.0,100.0,40.0,40.0,4.04,4.55,20.98,5.0,6.0,19.0,235.0,180.0,180.0,10.0,2.85,4.26,4.26,28.15,28.15,27.28,126.06,22.32,10.11,23.8,4.35,72.45,42.98,21.09,22.32,21.09,123.0,53.0,56.0,232.0,24.0,7.0,0.0,22.0,4.0,64.0,55.0,99.0,152.0,5.0,13.0,120.0,35.0,17.0,18.0,106.0,38.0,32.0,3.94,4.59,13.79,5.0,7.0,12.0,232.0,176.0,176.0,9.0,2.94,1.18,1.18,24.08,24.08,22.69
DET,2022,DET,DET,Team Level,all,67,0.49,0.47,0.48,244395.0,1920.58,191.7,132.25,446.93,63.42,1064.45,761.26,182.92,191.66,182.93,1927.0,733.0,890.0,3550.0,198.0,177.0,23.0,398.0,50.0,867.0,970.0,1729.0,2462.0,242.0,501.0,1816.0,1531.0,360.0,486.0,1975.0,481.0,204.0,57.38,57.71,76.62,72.0,60.0,66.0,3532.79,2660.0,2652.97,263.0,29.65,41.38,41.45,179.91,179.95,175.94,2082.79,202.33,146.3,484.73,70.97,1170.6,836.07,190.54,202.5,190.71,2066.0,845.0,1083.0,3994.0,216.0,193.0,34.0,419.0,47.0,1016.0,1020.0,1850.0,2695.0,264.0,549.0,1903.0,1373.0,347.0,564.0,2161.0,547.0,203.0,65.28,66.3,70.75,90.0,69.0,57.0,4008.75,2911.0,2919.06,297.0,32.57,37.24,37.48,197.42,197.35,188.62
DET,2022,DET,DET,Team Level,5on5,67,0.47,0.46,0.47,195316.0,1414.31,117.79,92.7,346.95,46.9,786.3,580.38,112.73,117.74,112.75,1424.0,547.0,687.0,2658.0,120.0,133.0,13.0,308.0,34.0,629.0,747.0,1304.0,1851.0,207.0,427.0,1320.0,1391.0,290.0,404.0,1505.0,352.0,114.0,42.94,42.75,32.09,59.0,43.0,18.0,2640.79,1971.0,1963.97,228.0,19.12,28.92,29.12,107.79,107.83,106.02,1616.52,135.13,108.16,394.66,55.13,906.83,662.1,129.72,135.3,129.9,1595.0,667.0,875.0,3137.0,141.0,159.0,27.0,335.0,37.0,787.0,803.0,1454.0,2121.0,228.0,473.0,1415.0,1268.0,283.0,476.0,1737.0,406.0,119.0,52.21,49.42,33.49,68.0,51.0,22.0,3151.75,2262.0,2270.06,254.0,22.34,29.99,30.35,127.11,127.04,124.51
DET,2022,DET,DET,Team Level,4on5,67,0.1,0.11,0.14,17953.0,48.1,4.45,2.27,7.05,1.52,15.19,34.52,4.43,4.45,4.43,55.0,10.0,4.0,69.0,5.0,1.0,0.0,5.0,0.0,12.0,42.0,50.0,60.0,9.0,21.0,154.0,77.0,37.0,23.0,47.0,11.0,7.0,1.29,1.32,1.84,1.0,3.0,1.0,69.0,65.0,65.0,22.0,0.53,0.25,0.25,4.73,4.73,4.72,284.45,40.7,25.42,58.04,9.78,173.09,89.97,35.56,40.7,35.56,285.0,112.0,140.0,537.0,42.0,27.0,7.0,58.0,6.0,153.0,111.0,243.0,355.0,23.0,47.0,182.0,18.0,12.0,37.0,257.0,92.0,48.0,7.53,11.08,22.09,12.0,9.0,21.0,537.0,397.0,397.0,1.0,6.7,6.07,5.95,41.44,41.44,36.64
DET,2022,DET,DET,Team Level,5on4,67,0.91,0.87,0.85,21150.0,324.65,39.91,27.62,68.36,10.51,194.85,102.75,37.86,39.91,37.86,323.0,121.0,144.0,588.0,43.0,29.0,7.0,65.0,11.0,169.0,127.0,280.0,401.0,15.0,30.0,221.0,29.0,18.0,41.0,323.0,78.0,43.0,9.1,9.1,21.7,7.0,8.0,28.0,588.0,444.0,444.0,3.0,7.14,7.95,7.82,39.23,39.23,37.92,55.75,4.19,2.61,8.25,1.7,18.23,41.01,4.18,4.19,4.18,63.0,13.0,12.0,88.0,9.0,0.0,0.0,4.0,0.0,12.0,51.0,54.0,67.0,8.0,16.0,186.0,52.0,35.0,33.0,61.0,11.0,4.0,1.6,1.21,1.39,5.0,2.0,2.0,88.0,76.0,76.0,33.0,0.6,0.0,0.0,4.79,4.79,4.77
